accel_x,accel_y,accel_z
-46,3,1018
-42,1,1022
-44,5,1022
-46,5,1020
-46,1,1016
-44,2,1022
-47,1,1025
-48,3,1024
-44,1,1018
-45,5,1020
-42,4,1023
-46,5,1023
-46,4,1022
-43,7,1026
-45,4,1019
-42,4,1027
accel_x,accel_y,accel_z
-45,3,1021
-42,2,1016
-44,3,1023
-50,7,1028
-43,2,1021
-43,7,1024
-44,4,1027
-48,8,1028
-43,7,1023
-45,5,1025
-47,3,1018
-45,7,1024
-46,3,1029
-46,3,1028
-45,4,1019
-43,3,1022
accel_x,accel_y,accel_z
-44,6,1026
-46,4,1026
-41,6,1024
-44,5,1020
-46,4,1024
-47,5,1025
-45,4,1021
-43,7,1027
-45,4,1024
-42,4,1020
-44,2,1026
-41,3,1021
-39,9,1023
-42,5,1021
-44,4,1020
-44,5,1020
accel_x,accel_y,accel_z
-44,2,1025
-49,7,1029
-45,7,1028
-42,4,1022
-48,2,1029
-48,5,1033
-41,4,1021
-44,6,1019
-47,3,1017
-53,5,1026
-45,12,1021
-41,5,1026
-44,2,1021
-45,4,1026
-45,5,1026
-41,6,1017
accel_x,accel_y,accel_z
-42,5,1024
-40,6,1028
-44,6,1025
-40,1,1021
-44,4,1024
-47,10,1026
-45,6,1023
-46,4,1019
-44,2,1023
-47,6,1029
-44,6,1023
-45,5,1026
-45,8,1023
-46,3,1022
-42,5,1025
-48,6,1029
accel_x,accel_y,accel_z
-46,5,1019
-48,6,1020
-46,5,1014
-46,6,1022
-48,5,1024
-45,3,1026
-44,8,1024
-42,4,1020
-46,3,1023
-45,0,1017
-39,2,1019
-43,2,1020
-44,3,1024
-44,4,1027
-40,3,1023
-43,6,1023
accel_x,accel_y,accel_z
-46,3,1024
-44,5,1023
-42,6,1024
-46,3,1018
-44,3,1025
-46,3,1029
-45,3,1026
-43,6,1027
-43,6,1023
-46,7,1029
-43,4,1026
-44,4,1023
-47,3,1020
-43,2,1029
-42,4,1026
-42,2,1023
accel_x,accel_y,accel_z
-43,5,1017
-45,3,1019
-43,5,1027
-42,5,1026
-43,6,1023
-46,7,1022
-48,4,1021
-42,7,1030
-41,5,1024
-45,8,1023
-47,7,1025
-46,10,1029
-45,5,1031
-43,5,1022
-44,4,1017
-45,5,1017
accel_x,accel_y,accel_z
-46,2,1023
-44,5,1029
-42,3,1021
-50,5,1002
-42,2,1019
-45,4,1019
-42,2,1011
-74,-32,1046
-55,-1,1027
-47,7,1019
-46,5,1021
-45,3,1021
-46,0,1008
-44,1,1016
-45,5,1023
-42,2,1024
accel_x,accel_y,accel_z
-44,6,1022
-41,5,1019
-40,5,1025
-45,3,1020
-44,4,1021
-43,6,1020
-44,8,1026
-39,5,1021
-40,2,1018
-41,3,1017
-40,3,1021
-46,4,1026
-44,6,1025
-44,11,1019
-48,7,1030
-43,7,1023
accel_x,accel_y,accel_z
-43,5,1021
-46,8,1018
-56,0,1035
-48,4,1013
-45,5,1026
-43,3,1021
-44,6,1024
-40,4,1019
-40,1,1020
-45,5,1028
-42,6,1026
-43,5,1025
-46,6,1024
-43,4,1023
-47,4,1020
-47,4,1021
accel_x,accel_y,accel_z
-44,4,1024
-42,5,1020
-42,6,1022
-43,3,1021
-44,7,1025
-44,4,1029
-45,4,1023
-47,2,1017
-44,4,1022
-42,5,1025
-47,8,1028
-44,4,1024
-44,5,1027
-46,3,1026
-44,4,1024
-45,4,1020
accel_x,accel_y,accel_z
-43,4,1022
-41,6,1023
-43,3,1022
-44,5,1028
-46,5,1025
-47,4,1020
-50,6,1020
-43,5,1024
-43,4,1023
-45,6,1027
-40,-4,1022
-40,0,1024
-50,7,1025
-48,1,1025
-45,1,1022
-47,5,1019
accel_x,accel_y,accel_z
-44,11,1018
-41,6,1019
-45,7,1023
-47,7,1025
-45,6,1019
-48,3,1030
-43,1,1022
-43,5,1016
-42,8,1015
-44,4,1024
-40,2,1019
-45,8,1024
-41,6,1020
-43,2,1025
-46,2,1021
-41,4,1020
accel_x,accel_y,accel_z
-45,7,1023
-44,6,1022
-49,4,1018
-48,5,1020
-48,6,1017
-48,4,1023
-46,4,1030
-42,4,1028
-42,2,1019
-43,3,1028
-46,3,1022
-46,2,1022
-49,3,1019
-46,3,1024
-48,3,1022
-41,3,1025
accel_x,accel_y,accel_z
-43,1,1023
-45,6,1028
-46,9,1028
-42,7,1023
-43,8,1020
-45,2,1016
-42,2,1028
-45,3,1023
-49,4,1020
-40,4,1018
-46,5,1021
-47,6,1023
-46,1,1027
-49,4,1024
-44,4,1029
-46,7,1020
accel_x,accel_y,accel_z
-44,7,1026
-42,4,1027
-42,3,1025
-45,5,1030
-45,6,1028
-44,4,1025
-46,6,1024
-40,5,1022
-43,3,1019
-42,1,1014
-39,3,1026
-43,2,1027
-39,4,1028
-43,6,1026
-45,6,1024
-47,5,1024
